id;mot;pol_pos;pol_neutre;pol_neg
62636;sol;0.25;0.73;0.02
59705;10;0.77;0.23;0
3829;cm;0.72;0.28;0
120823;pourtant;0.43;0.5;0.07
148360;goûts;0.8;0.2;0.01
34933;moyen;0.23;0.28;0.48
47959;l;0.47;0.53;0
55700;parlé;0.7;0.23;0.07
143560;couché;0.74;0.1;0.16
26530;cloison;0.23;0.72;0.04
22700;prestation;0.72;0.19;0.09
60924;empester;0;0.08;0.92
95584;indigestion;0;0.05;0.95
104250;comptoir;0.61;0.29;0.09
156071;produits;0.68;0.25;0.07
1531;cuvette;0.31;0.66;0.03
64862;passage;0.46;0.49;0.05
94794;dun;0.2;0.4;0.4
69997;bref;0.07;0.75;0.18
72995;poussé;0.71;0.17;0.12
101712;insonorisation;0.14;0.38;0.48
61133;dune;0.69;0.31;0
27007;inconfortable;0;0.07;0.93
107491;rénovation;0.74;0.17;0.09
52286;remplacer;0.67;0.25;0.08
61092;literie;0.36;0.64;0
45963;coincé;0.19;0.12;0.68
155528;Hygiène;0.55;0.25;0.2
25072;microscopique;0.28;0.28;0.45
242634;douteuse;0.62;0.08;0.3
64681;niveau;0.54;0.46;0
90053;lavabo;0.56;0.36;0.07
91304;banal;0.41;0.25;0.34
101701;terrible;0.07;0.04;0.89
142107;Petit;0.51;0.49;0
78845;déjeuner;0.35;0.65;0
53310;jus;0.3;0.7;0
125053;entretien;0.56;0.38;0.06
125053;entretien;0.56;0.38;0.06
224493;22;0.53;0.24;0.23
41682;été;0.8;0.15;0.04
146105;mer;0.72;0.28;0
397241;desserts;0.88;0.12;0
35814;couscous;0.59;0.41;0
20588;bof;0;0.09;0.91
309729;aimables;0.5;0.33;0.17
105685;moyens;0.53;0.42;0.05
253811;bâclée;0;0.76;0.24
1690981;macaronade;0.56;0.41;0.02
48981;présentation;0.63;0.32;0.04
72156;décevant;0;0.07;0.93
38188;menu;0.59;0.33;0.08
59893;entrée;0.23;0.75;0.02
39192;nuit;0.33;0.53;0.14
43466;passé;0.19;0.6;0.21
70784;laquelle;0.68;0.24;0.08
